complex,class_type,trial,vertices,edges,faces,h1_dimension,exact,coexact,harmonic,distance_to_coboundaries,classified_nontrivial,expected_nontrivial,classification_correct,runtime_seconds
triangle_complex,trivial_exact,53,3,3,1,0,0.9999991452511925,0.0013074772978485555,1.6545296450265938e-16,0.004963006257211573,False,False,True,5.1625072956085205e-05
triangle_complex,trivial_exact,54,3,3,1,0,0.999997019376125,0.0024415648396866074,1.8451036378436872e-16,0.006916846238954742,False,False,True,5.133310332894325e-05
triangle_complex,trivial_exact,55,3,3,1,0,0.999988134789627,0.004871373519174168,1.9353976756672376e-16,0.010455756569667815,False,False,True,5.162484012544155e-05
triangle_complex,trivial_exact,56,3,3,1,0,0.9999714559587873,0.007555611667060089,2.0983400404837808e-16,0.00851947026193781,False,False,True,5.14171551913023e-05
triangle_complex,trivial_exact,57,3,3,1,0,0.9999944765624945,0.003323679362215962,5.705922933418243e-17,0.005280310676848431,False,False,True,5.2541960030794144e-05
triangle_complex,trivial_exact,58,3,3,1,0,0.9999970871387068,0.002413651611532363,1.7511547143564974e-16,0.004601347475453282,False,False,True,5.4167117923498154e-05
triangle_complex,trivial_exact,59,3,3,1,0,0.9999884060785328,0.004815361722168966,1.0517257559792937e-16,0.012451230174110126,False,False,True,5.24159986525774e-05
triangle_complex,trivial_exact,60,3,3,1,0,0.9999990602403738,0.0013709552764516503,1.7874001329695432e-16,0.0013905807111833268,False,False,True,5.308305844664574e-05
triangle_complex,trivial_exact,61,3,3,1,0,0.9999998277381181,0.0005869614417342615,1.215224430971306e-16,0.002663290793837783,False,False,True,5.420902743935585e-05
triangle_complex,trivial_exact,62,3,3,1,0,0.9999910983103665,0.004219395694540418,1.1206739606433973e-16,0.007572604778495018,False,False,True,5.1584094762802124e-05
triangle_complex,trivial_exact,63,3,3,1,0,0.9999974435050136,0.002261190712307395,1.672878171519611e-16,0.002807487560340665,False,False,True,5.1459064707159996e-05
triangle_complex,trivial_exact,64,3,3,1,0,0.9999897894235771,0.004518965433607048,2.434286150924643e-16,0.0066285355458825055,False,False,True,5.124998278915882e-05
triangle_complex,trivial_exact,65,3,3,1,0,0.9999990645649014,0.0013677972518536766,1.066065816713093e-16,0.003077169281235365,False,False,True,5.12909609824419e-05
